iter	Passed	Remaining
0	138	137862
1	139	69459
2	140	46581
3	141	35145
4	142	28279
5	143	23705
6	144	20429
7	144	17977
8	145	16071
9	147	14553
10	148	13326
11	149	12297
12	150	11437
13	152	10707
14	153	10058
15	154	9484
16	155	8975
17	156	8522
18	157	8120
19	158	7758
20	159	7431
21	160	7129
22	161	6854
23	162	6596
24	163	6358
25	163	6139
26	164	5937
27	165	5747
28	166	5571
29	167	5407
30	168	5254
31	168	5110
32	169	4975
33	170	4848
34	171	4727
35	172	4614
36	173	4507
37	174	4409
38	175	4319
39	176	4238
40	177	4153
41	178	4071
42	179	3992
43	180	3919
44	181	3847
45	182	3777
46	183	3711
47	183	3647
48	184	3586
49	185	3529
50	186	3473
51	187	3418
52	188	3365
53	189	3315
54	190	3266
55	190	3218
56	191	3172
57	192	3128
58	193	3085
59	194	3044
60	195	3004
61	196	2965
62	196	2928
63	197	2891
64	198	2857
65	199	2823
66	200	2791
67	201	2758
68	202	2727
69	202	2696
70	203	2666
71	204	2637
72	205	2609
73	206	2582
74	207	2555
75	208	2529
76	208	2503
77	209	2478
78	210	2454
79	211	2430
80	212	2408
81	213	2386
82	213	2360
83	214	2339
84	215	2318
85	216	2298
86	217	2278
87	217	2258
88	218	2239
89	219	2221
90	220	2202
91	221	2185
92	222	2167
93	223	2150
94	223	2133
95	224	2116
96	225	2100
97	226	2084
98	227	2068
99	228	2053
100	229	2038
101	229	2023
102	230	2009
103	231	1995
104	232	1980
105	233	1967
106	234	1953
107	234	1940
108	235	1927
109	236	1914
110	237	1902
111	238	1890
112	239	1878
113	240	1867
114	241	1855
115	241	1844
116	242	1831
117	243	1820
118	244	1809
119	245	1798
120	246	1787
121	246	1775
122	247	1765
123	248	1755
124	249	1745
125	250	1735
126	250	1724
127	251	1714
128	252	1705
129	253	1696
130	254	1686
131	255	1677
132	255	1668
133	256	1659
134	257	1651
135	258	1642
136	259	1633
137	260	1625
138	261	1617
139	261	1608
140	262	1600
141	263	1591
142	264	1583
143	265	1575
144	266	1568
145	266	1561
146	267	1554
147	268	1546
148	269	1539
149	270	1532
150	271	1525
151	272	1518
152	273	1511
153	273	1504
154	274	1497
155	275	1491
156	276	1484
157	277	1477
158	278	1471
159	279	1466
160	279	1459
161	280	1452
162	281	1446
163	282	1440
164	283	1434
165	284	1428
166	285	1422
167	285	1416
168	286	1410
169	287	1404
170	288	1399
171	289	1393
172	290	1387
173	291	1382
174	292	1376
175	292	1371
176	293	1366
177	294	1360
178	295	1355
179	296	1350
180	297	1344
181	298	1339
182	298	1334
183	299	1329
184	300	1324
185	301	1319
186	302	1314
187	303	1309
188	304	1304
189	304	1299
190	305	1295
191	306	1290
192	307	1286
193	308	1281
194	309	1276
195	310	1272
196	311	1267
197	311	1263
198	312	1258
199	313	1254
200	314	1249
201	315	1245
202	316	1241
203	317	1237
204	317	1232
205	318	1228
206	319	1224
207	320	1220
208	321	1216
209	322	1212
210	323	1208
211	324	1204
212	324	1200
213	325	1196
214	326	1192
215	327	1188
216	328	1184
217	329	1180
218	329	1176
219	330	1172
220	331	1168
221	332	1165
222	333	1161
223	334	1158
224	335	1154
225	336	1151
226	336	1147
227	337	1143
228	338	1139
229	339	1136
230	340	1132
231	341	1129
232	341	1125
233	342	1122
234	343	1118
235	344	1115
236	345	1111
237	346	1108
238	347	1105
239	347	1101
240	348	1098
241	349	1095
242	350	1091
243	351	1088
244	352	1085
245	353	1082
246	354	1079
247	354	1075
248	355	1072
249	356	1069
250	357	1066
251	358	1063
252	359	1061
253	360	1058
254	361	1056
255	362	1054
256	364	1052
257	365	1050
258	366	1047
259	366	1044
260	368	1042
261	369	1040
262	370	1037
263	371	1034
264	371	1031
265	372	1028
266	373	1025
267	374	1022
268	375	1020
269	376	1017
270	377	1014
271	377	1011
272	378	1008
273	379	1005
274	380	1003
275	381	1000
276	382	997
277	383	994
278	383	992
279	384	989
280	385	986
281	386	984
282	387	981
283	388	978
284	389	975
285	389	973
286	390	970
287	391	968
288	392	965
289	393	962
290	394	960
291	394	957
292	395	955
293	396	952
294	397	950
295	398	947
296	399	945
297	400	942
298	401	940
299	401	937
300	402	935
301	403	932
